layer,purpose,example
entrance,help readers begin,README.md
guide,hold reviewer paths and maps,guide/REVIEWER_GUIDE.md
core,carry the central archive,core/capsule.md
context,explain why the repository exists,context/why-this-repository.md
korean-origin,preserve origin language,ko/note-on-language.md
physical-media,imagine disc contexts,disc/readme-on-disc.md
preservation,explain durability/accessibility/print strategy,preservation/README.md
metadata,make identity machine-readable,meta/capsule.json
archive-interpretation,hold future/exhibit/git/rfc readings,archive/README.md
curation,control growth,guide/curation/principles.md
